2023-05-13 17:55:31,345 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV', '-vn', '-ar', '44100', '-ac', '1', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-17-55-31.mp3']' returned non-zero exit status 1.
2023-05-13 17:55:37,702 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV', '-vn', '-ar', '44100', '-ac', '1', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-17-55-31.mp3']' returned non-zero exit status 1.
2023-05-13 17:55:37,754 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV', '-vn', '-ar', '44100', '-ac', '1', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-17-55-37.mp3']' returned non-zero exit status 1.
2023-05-13 17:55:39,484 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV', '-vn', '-ar', '44100', '-ac', '1', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-17-55-37.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:13,969 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-13.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:13,998 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-13.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:14,028 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-13.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:14,056 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-14.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:23,746 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-23.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:23,775 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-23.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:23,804 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-23.mp3']' returned non-zero exit status 1.
2023-05-13 18:37:23,832 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-37-23.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:13,234 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-13.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:13,266 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-13.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:13,298 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-13.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:13,329 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-13.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:19,957 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00047.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-19.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:19,985 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00046.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-19.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:20,014 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00048.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-19.mp3']' returned non-zero exit status 1.
2023-05-13 18:45:20,042 [ERROR] - Error occurred while converting /Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV: Command '['ffmpeg', '-i', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/POD00049.WAV', '-filter_complex', '[0:a]amerge=inputs=14,pan=mono|c0=0.0714286*c0+0.0714286*c1+0.0714286*c2+0.0714286*c3+0.0714286*c4+0.0714286*c5+0.0714286*c6+0.0714286*c7+0.0714286*c8+0.0714286*c9+0.0714286*c10+0.0714286*c11+0.0714286*c12+0.0714286*c13', '-ar', '44100', '-b:a', '64k', '/Users/nico/Dropbox/podcasts/web3 galaxy brain/ep59- Smart Contracts are Art/raw recording/output/2023-05-13-18-45-20.mp3']' returned non-zero exit status 1.
